Day ,IdRFID,IdLabel,Cage,Discard,Stage,Substage,Notes
1,041768F274,Bat 8,2,0,Training,Training,
1,0416D4F544,Bat 80,5,0,Training,Training,
2,041768F274,Bat 8,2,1,Main,Baseline,
2,0416D4F544,Bat 80,5,1,Main,Baseline,
3,0416D4EE76,Bat 66,1,1,Training,Training,
3,041768F274,Bat 8,2,0,Main,Baseline,
3,04185D008F,Bat 103,3,0,Training,Training,
3,0416ECC22D,Bat 87,4,0,Training,Training,
3,0416D4F544,Bat 80,5,0,Main,Baseline,
3,04185D1DE6,Bat 104,6,1,Training,Training,
4,041768F274,Bat 8,2,0,Main,Baseline,
4,04185D008F,Bat 103,3,0,Main,Baseline,
4,0416ECC22D,Bat 87,4,0,Main,Baseline,
4,0416D4F544,Bat 80,5,0,Main,Baseline,This bat was not rewarded properly until 9 PM at night
5,0416D4EE76,Bat 66,1,1,Training,Training,
5,041768F274,Bat 8,2,0,Main,Experimental,
5,04185D008F,Bat 103,3,0,Main,Baseline,
5,0416ECC22D,Bat 87,4,0,Main,Baseline,
5,0416D4F544,Bat 80,5,0,Main,Experimental,
5,04185D1DE6,Bat 44,6,1,Training,Training,
6,0416D4EE76,Bat 66,1,1,Training,Training,
6,041768F274,Bat 8,2,0,Main,Experimental,
6,04185D008F,Bat 103,3,1,Main,Experimental,
6,0416ECC22D,Bat 87,4,0,Main,Experimental,
6,0416D4F544,Bat 80,5,0,Main,Experimental,
6,04185D1DE6,Bat 44,6,1,Main,Baseline,
7,0416D4EE76,Bat 66,1,1,Main,Baseline,
7,041768F274,Bat 8,2,0,Main,Experimental,
7,04185D008F,Bat 103,3,0,Main,Experimental,
7,0416ECC22D,Bat 87,4,0,Main,Experimental,
7,0416D4F544,Bat 80,5,0,Main,Experimental,
7,04185D1DE6,Bat 44,6,1,Main,Baseline,
8,041768F274,Bat 8,2,0,Main,Experimental,
8,04185D008F,Bat 103,3,0,Main,Experimental,
8,0416ECC22D,Bat 87,4,0,Main,Experimental,
8,0416D4F544,Bat 80,5,0,Main,Experimental,
8,04185D1DE6,Bat 44,6,1,Main,Experimental,
9,04185D008F,Bat 103,3,0,Main,Experimental,
9,0416ECC22D,Bat 87,4,0,Main,Experimental,
10,0416D4EE76,Bat 107m,1,0,Training,Training,
10,041768F274,Bat 29,2,0,Training,Training,
10,04185D008F,Bat 103,3,0,Main,Experimental,
10,0416D4F544,Bat 107f,5,0,Training,Training,
10,04185D1DE6,Bat 7,6,1,Training,Training,
11,0416D4EE76,Bat 107m,1,1,Main,Baseline,
11,041768F274,Bat 29,2,0,Main,Baseline ,
11,0416ECC22D,Bat 48,4,0,Training,Experimental,
11,0416D4F544,Bat 107f,5,0,Main,Baseline,
12,0416D4EE76,Bat 107m,1,0,Main,Baseline,
12,041768F274,Bat 29,2,0,Main,Baseline ,
12,0416ECC22D,Bat 48,4,0,Main,Baseline,
12,0416D4F544,Bat 107f,5,0,Main,Baseline,
13,0416D4EE76,Bat 107m,1,0,Main,Baseline,
13,041768F274,Bat 29,2,0,Main,Experimental,
13,04185D008F,Bat 52,3,1,Training,Training,
13,0416ECC22D,Bat 48,4,0,Main,Baseline,
13,0416D4F544,Bat 107f,5,0,Main,Experimental,
13,04185D1DE6,Bat 100,6,0,Training,Training,
14,0416D4EE76,Bat 107m,1,0,Main,Experimental,
14,041768F274,Bat 29,2,0,Main,Experimental,
14,0416ECC22D,Bat 48,4,0,Main,Experimental,
14,0416D4F544,Bat 107f,5,0,Main,Experimental,
14,04185D1DE6,Bat 100,6,1,Main,Baseline,
15,0416D4EE76,Bat 107m,1,0,Main,Experimental,
15,041768F274,Bat 29,2,0,Main,Experimental,
15,04185D008F,Bat 52,3,1,Training,Training,
15,0416ECC22D,Bat 48,4,0,Main,Experimental,
15,0416D4F544,Bat 107f,5,0,Main,Experimental,
15,04185D1DE6,Bat 100,6,0,Main,Baseline,
16,0416D4EE76,Bat 107m,1,0,Main,Experimental,
16,041768F274,Bat 29,2,0,Main,Experimental,
16,04185D008F,Bat 1,3,1,Training,Training,
16,0416ECC22D,Bat 48,4,0,Main,Experimental,
16,0416D4F544,Bat 107f,5,0,Main,Experimental,
16,04185D1DE6,Bat 100,6,0,Main,Baseline,
17,0416D4EE76,Bat 107m,1,0,Main,Experimental,
17,04185D008F,Bat 1,3,1,Training,Training,
17,0416ECC22D,Bat 48,4,0,Main,Experimental,
17,04185D1DE6,Bat 100,6,0,Main,Experimental,
18,041768F274,Bat 92,2,1,Main,Experimental,
18,0416D4F544,Bat 102,5,1,Training,Training,
18,04185D1DE6,Bat 100,6,0,Main,Experimental,
19,041768F274,Bat 92,2,1,Training,Training,
19,04185D008F,Bat 46,3,1,Training,Training,
19,0416D4F544,Bat 102,5,0,Training,Training,
19,04185D1DE6,Bat 100,6,0,Main,Experimental,
20,041768F274,Bat 92,2,1,Main,Baseline,
20,04185D008F,Bat 46,3,1,Main,Baseline,
20,0416ECC22D,Bat 32,4,1,Training,Training,
20,0416D4F544,Bat 102,5,0,Main,Baseline,
20,04185D1DE6,Bat 100,6,0,Main,Experimental,
21,041768F274,Bat 92,2,1,Main,Baseline,
