"Day";"DateTime";"IdRFID";"unitLabel";"eventDuration";"sense1duration";"reinforce1value";"reinforce1Account";"outFuncLabel";"outLabel";"SystemMsg";"MsgValue1";"IdLabel";"Cage";"Discard";"Stage";"Substage";"Notes"
1;2021-11-09 13:08:03;"041768F274";"exp";NA;"";NA;NA;"";"";"start offset";"00:00:01";"Bat 8";2;0;"Training";"Training";""
1;2021-11-09 13:08:03;"0416D4F544";"exp";NA;"";NA;NA;"";"";"start offset";"00:00:01";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 13:08:04;"041768F274";"exp";NA;"";NA;NA;"";"";"start exp";"13:51:55.2218215";"Bat 8";2;0;"Training";"Training";""
1;2021-11-09 13:08:04;"041768F274";"exp";NA;"";NA;NA;"";"";"start initial free";"";"Bat 8";2;0;"Training";"Training";""
1;2021-11-09 13:08:04;"0416D4F544";"exp";NA;"";NA;NA;"";"";"start exp";"13:51:55.1958071";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 13:08:04;"0416D4F544";"exp";NA;"";NA;NA;"";"";"start initial free";"";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:04:54;"0416D4F544";"RFID10";1121;"";NA;NA;"";"";"";"0,136,121,43,100,102,96,96,96,96,96";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:05:20;"0416D4F544";"RFID9";661;"";NA;NA;"";"";"";"0,140,160,94";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:05:34;"0416D4F544";"RFID9";1580;"";NA;NA;"";"";"";"0,101,99,141,48,96,96,95,96,94,97,95,95,96,96,95";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:05:50;"0416D4F544";"RFID9";241;"";NA;NA;"";"";"";"0,139";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:06:08;"0416D4F544";"CondMod9";5204;"4921";78;78;"out1Initial";"positive";"init";"";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:06:17;"0416D4F544";"CondMod9";2431;"1684";78;78;"out1Initial";"positive";"init";"";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:06:36;"0416D4F544";"CondMod9";6114;"2034";78;78;"out1Initial";"positive";"init";"";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:07:01;"0416D4F544";"RFID9";301;"";NA;NA;"";"";"";"0,135,96";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:07:05;"0416D4F544";"CondMod9";796;"239";78;78;"out1Initial";"positive";"init";"";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:07:08;"0416D4F544";"CondMod9";3339;"2326";78;78;"out1Initial";"positive";"init";"";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:07:29;"0416D4F544";"CondMod9";2429;"1735";78;78;"out1Initial";"positive";"init";"";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:07:54;"0416D4F544";"CondMod9";6390;"4574";78;78;"out1Initial";"positive";"init";"";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:16:20;"0416D4F544";"RFID10";396;"";NA;NA;"";"";"";"0,97,92,52,96";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:16:25;"0416D4F544";"RFID10";375;"";NA;NA;"";"";"";"0,99,66";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:16:28;"0416D4F544";"RFID10";318;"";NA;NA;"";"";"";"0,96,128";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:16:33;"0416D4F544";"RFID10";520;"";NA;NA;"";"";"";"0,147,95,48,48";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:16:39;"0416D4F544";"RFID10";460;"";NA;NA;"";"";"";"0,140,143,47";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:16:51;"0416D4F544";"RFID10";777;"";NA;NA;"";"";"";"0,166,96,95,95,48,48";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:16:54;"0416D4F544";"RFID10";1672;"";NA;NA;"";"";"";"0,48,96,96,95,96,96,48,112,95,95,48,95,111,96,96,48,112";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:17:05;"0416D4F544";"RFID10";531;"";NA;NA;"";"";"";"0,96,96,49,111,95";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:17:08;"0416D4F544";"RFID10";2713;"";NA;NA;"";"";"";"0,100,91,96,96,48,112,95,96,47,158,48,95,96,95,96,96,48,111,96,95,48,127,96,95,48,48,96,96";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:27:52;"041768F274";"RFID3";661;"";NA;NA;"";"";"";"0,100,143,48,95,96,96";"Bat 8";2;0;"Training";"Training";""
1;2021-11-09 14:32:03;"0416D4F544";"RFID10";1458;"";NA;NA;"";"";"";"0,100,104,95,76,100,112,95,47,111,112,94,95,46,111";"Bat 80";5;0;"Training";"Training";""
1;2021-11-09 14:42:19;"041768F274";"RFID3";288;"";NA;NA;"";"";"";"0,165";"Bat 8";2;0;"Training";"Training";""
