Day ,IdRFID,IdLabel,Cage,Discard,Stage,Substage,Group 
1,041768F274,Bat 72,2,1,Training,Training,Strict
1,04185D008F,Bat 103,3,0,Training,Training,Random
1,04185D1DE6,Bat 112,4,1,Training,Training,Random
1,0416D4F855,Bat 5,5,0,Training,Training,Strict
1,0416D4F741,Bat 106,6,1,Training,Training,Random
2,041768F274,Bat 72,2,0,Main,Baseline,Strict
2,0416D4F544,Bat 5,5,0,Main,Baseline,Strict
3,0416D4EE76,Bat 67,1,0,Training,Training,Random
3,041768F274,Bat 72,2,0,Main,Baseline,Strict
3,04185D008F,Bat 63,3,0,Training,Training,Random
3,0416D4F544,Bat 5,5,0,Main,Baseline,Strict
3,0416D4D943,Bat 61,6,0,Training,Training,Random
4,0416D4EE76,Bat 67,1,0,Main,Baseline,Random
4,041768F274,Bat 72,2,0,Main,Lockdown,Strict
4,04185D008F,Bat 63,3,0,Main,Baseline,Random
4,0416D4F544,Bat 5,5,0,Main,Lockdown,Strict
4,0416D4D943,Bat 61,6,0,Training,Training,Random
5,0416D4EE76,Bat 67,1,0,Main,Baseline,Random
5,041768F274,Bat 72,2,0,Main,Lockdown,Strict
5,04185D008F,Bat 63,3,0,Main,Baseline,Random
5,0416D4F544,Bat 5,5,0,Main,Lockdown,Strict
5,0416D4D943,Bat 61,6,0,Main,Baseline,Random
6,0416D4EE76,Bat 67,1,0,Main,Lockdown,Random
6,041768F274,Bat 72,2,0,Main,Lockdown,Strict
6,04185D008F,Bat 63,3,0,Main,Lockdown,Random
6,0416ECC22D,Bat 101,4,0,Training,Training,Strict
6,0416D4F544,Bat 5,5,0,Main,Lockdown,Strict
6,0416D4D943,Bat 61,6,0,Main,Baseline,Random
7,0416D4EE76,Bat 67,1,0,Main,Lockdown,Random
7,041768F274,Bat 72,2,0,Main,Baseline reference,Strict
7,04185D008F,Bat 63,3,0,Main,Lockdown,Random
7,0416ECC22D,Bat 101,4,0,Main,Baseline,Strict
7,0416D4F544,Bat 5,5,0,Main,Baseline reference,Strict
7,0416D4D943,Bat 61,6,0,Main,Lockdown,Random
8,0416D4EE76,Bat 67,1,0,Main,Lockdown,Random
8,04185D008F,Bat 63,3,0,Main,Lockdown,Random
