"Day";"IdLabel";"block";"lockdown_type"
4;"Bat 5";1;0
4;"Bat 5";2;0
4;"Bat 5";3;0
4;"Bat 5";4;0
4;"Bat 5";5;0
4;"Bat 5";6;0
4;"Bat 5";7;1
4;"Bat 5";8;0
4;"Bat 5";9;0
4;"Bat 5";10;0
4;"Bat 5";11;1
4;"Bat 5";12;0
4;"Bat 5";13;0
4;"Bat 5";14;0
4;"Bat 5";15;2
4;"Bat 5";16;0
4;"Bat 5";17;0
4;"Bat 5";18;0
4;"Bat 5";19;0
4;"Bat 5";20;1
4;"Bat 5";21;0
4;"Bat 5";22;0
4;"Bat 5";23;0
4;"Bat 5";24;2
4;"Bat 5";25;0
4;"Bat 5";26;0
4;"Bat 5";27;0
4;"Bat 5";28;0
4;"Bat 5";29;2
4;"Bat 5";30;0
4;"Bat 5";31;0
4;"Bat 5";32;0
4;"Bat 5";33;0
4;"Bat 5";34;0
4;"Bat 5";35;1
4;"Bat 5";36;0
4;"Bat 5";37;0
4;"Bat 5";38;0
4;"Bat 5";39;0
4;"Bat 5";40;0
4;"Bat 5";41;0
4;"Bat 5";42;1
4;"Bat 5";43;0
4;"Bat 5";44;0
4;"Bat 5";45;0
4;"Bat 5";46;0
4;"Bat 5";47;2
4;"Bat 5";48;0
4;"Bat 5";49;0
4;"Bat 5";50;0
4;"Bat 5";51;0
4;"Bat 5";52;1
4;"Bat 5";53;0
4;"Bat 5";54;0
4;"Bat 5";55;0
4;"Bat 5";56;2
4;"Bat 5";57;0
4;"Bat 5";58;0
4;"Bat 5";59;0
4;"Bat 5";60;2
4;"Bat 5";61;0
4;"Bat 5";62;0
4;"Bat 5";63;0
4;"Bat 5";64;0
4;"Bat 5";65;1
4;"Bat 72";1;0
4;"Bat 72";2;0
4;"Bat 72";3;0
4;"Bat 72";4;0
4;"Bat 72";5;0
4;"Bat 72";6;0
4;"Bat 72";7;1
4;"Bat 72";8;0
4;"Bat 72";9;0
4;"Bat 72";10;0
4;"Bat 72";11;1
4;"Bat 72";12;0
4;"Bat 72";13;0
4;"Bat 72";14;0
4;"Bat 72";15;2
4;"Bat 72";16;0
4;"Bat 72";17;0
4;"Bat 72";18;0
4;"Bat 72";19;0
4;"Bat 72";20;1
4;"Bat 72";21;0
4;"Bat 72";22;0
4;"Bat 72";23;0
4;"Bat 72";24;2
4;"Bat 72";25;0
4;"Bat 72";26;0
4;"Bat 72";27;0
4;"Bat 72";28;0
4;"Bat 72";29;2
4;"Bat 72";30;0
4;"Bat 72";31;0
4;"Bat 72";32;0
4;"Bat 72";33;0
4;"Bat 72";34;0
4;"Bat 72";35;1
4;"Bat 72";36;0
4;"Bat 72";37;0
4;"Bat 72";38;0
4;"Bat 72";39;0
4;"Bat 72";40;0
4;"Bat 72";41;0
4;"Bat 72";42;1
4;"Bat 72";43;0
4;"Bat 72";44;0
4;"Bat 72";45;0
4;"Bat 72";46;0
4;"Bat 72";47;2
4;"Bat 72";48;0
4;"Bat 72";49;0
4;"Bat 72";50;0
4;"Bat 72";51;0
4;"Bat 72";52;1
4;"Bat 72";53;0
4;"Bat 72";54;0
4;"Bat 72";55;0
4;"Bat 72";56;2
4;"Bat 72";57;0
4;"Bat 72";58;0
4;"Bat 72";59;0
4;"Bat 72";60;2
4;"Bat 72";61;0
4;"Bat 72";62;0
4;"Bat 72";63;0
4;"Bat 72";64;0
4;"Bat 72";65;1
4;"Bat 72";66;0
5;"Bat 5";1;0
5;"Bat 5";2;0
5;"Bat 5";3;0
5;"Bat 5";4;0
5;"Bat 5";5;0
5;"Bat 5";6;0
5;"Bat 5";7;1
5;"Bat 5";8;0
5;"Bat 5";9;0
5;"Bat 5";10;0
5;"Bat 5";11;1
5;"Bat 5";12;0
5;"Bat 5";13;0
5;"Bat 5";14;0
5;"Bat 5";15;2
5;"Bat 5";16;0
5;"Bat 5";17;0
5;"Bat 5";18;0
5;"Bat 5";19;0
5;"Bat 5";20;1
5;"Bat 5";21;0
5;"Bat 5";22;0
5;"Bat 5";23;0
5;"Bat 5";24;2
5;"Bat 5";25;0
5;"Bat 5";26;0
5;"Bat 5";27;0
5;"Bat 5";28;0
5;"Bat 5";29;2
5;"Bat 5";30;0
5;"Bat 5";31;0
5;"Bat 5";32;0
5;"Bat 5";33;0
5;"Bat 5";34;0
5;"Bat 5";35;1
5;"Bat 5";36;0
5;"Bat 5";37;0
5;"Bat 5";38;0
5;"Bat 5";39;0
5;"Bat 5";40;0
5;"Bat 5";41;0
5;"Bat 5";42;1
5;"Bat 5";43;0
5;"Bat 5";44;0
5;"Bat 5";45;0
5;"Bat 5";46;0
5;"Bat 5";47;2
5;"Bat 5";48;0
5;"Bat 5";49;0
5;"Bat 5";50;0
5;"Bat 5";51;0
5;"Bat 5";52;1
5;"Bat 5";53;0
5;"Bat 5";54;0
5;"Bat 5";55;0
5;"Bat 5";56;2
5;"Bat 5";57;0
5;"Bat 5";58;0
5;"Bat 5";59;0
5;"Bat 5";60;2
5;"Bat 5";61;0
5;"Bat 5";62;0
5;"Bat 5";63;0
5;"Bat 5";64;0
5;"Bat 5";65;1
5;"Bat 5";66;0
5;"Bat 5";67;0
5;"Bat 72";1;0
5;"Bat 72";2;0
5;"Bat 72";3;0
5;"Bat 72";4;0
5;"Bat 72";5;0
5;"Bat 72";6;0
5;"Bat 72";7;1
5;"Bat 72";8;0
5;"Bat 72";9;0
5;"Bat 72";10;0
5;"Bat 72";11;1
5;"Bat 72";12;0
5;"Bat 72";13;0
5;"Bat 72";14;0
5;"Bat 72";15;2
5;"Bat 72";16;0
5;"Bat 72";17;0
5;"Bat 72";18;0
5;"Bat 72";19;0
5;"Bat 72";20;1
5;"Bat 72";21;0
5;"Bat 72";22;0
5;"Bat 72";23;0
5;"Bat 72";24;2
5;"Bat 72";25;0
5;"Bat 72";26;0
5;"Bat 72";27;0
5;"Bat 72";28;0
5;"Bat 72";29;2
5;"Bat 72";30;0
5;"Bat 72";31;0
5;"Bat 72";32;0
5;"Bat 72";33;0
5;"Bat 72";34;0
5;"Bat 72";35;1
5;"Bat 72";36;0
5;"Bat 72";37;0
5;"Bat 72";38;0
5;"Bat 72";39;0
5;"Bat 72";40;0
5;"Bat 72";41;0
5;"Bat 72";42;1
5;"Bat 72";43;0
5;"Bat 72";44;0
5;"Bat 72";45;0
5;"Bat 72";46;0
5;"Bat 72";47;2
5;"Bat 72";48;0
5;"Bat 72";49;0
5;"Bat 72";50;0
5;"Bat 72";51;0
5;"Bat 72";52;1
5;"Bat 72";53;0
5;"Bat 72";54;0
5;"Bat 72";55;0
5;"Bat 72";56;2
5;"Bat 72";57;0
5;"Bat 72";58;0
5;"Bat 72";59;0
5;"Bat 72";60;2
5;"Bat 72";61;0
5;"Bat 72";62;0
5;"Bat 72";63;0
5;"Bat 72";64;0
5;"Bat 72";65;1
6;"Bat 5";1;0
6;"Bat 5";2;0
6;"Bat 5";3;0
6;"Bat 5";4;0
6;"Bat 5";5;0
6;"Bat 5";6;0
6;"Bat 5";7;1
6;"Bat 5";8;0
6;"Bat 5";9;0
6;"Bat 5";10;0
6;"Bat 5";11;1
6;"Bat 5";12;0
6;"Bat 5";13;0
6;"Bat 5";14;0
6;"Bat 5";15;2
6;"Bat 5";16;0
6;"Bat 5";17;0
6;"Bat 5";18;0
6;"Bat 5";19;0
6;"Bat 5";20;1
6;"Bat 5";21;0
6;"Bat 5";22;0
6;"Bat 5";23;0
6;"Bat 5";24;2
6;"Bat 5";25;0
6;"Bat 5";26;0
6;"Bat 5";27;0
6;"Bat 5";28;0
6;"Bat 5";29;2
6;"Bat 5";30;0
6;"Bat 5";31;0
6;"Bat 5";32;0
6;"Bat 5";33;0
6;"Bat 5";34;0
6;"Bat 5";35;1
6;"Bat 5";36;0
6;"Bat 5";37;0
6;"Bat 5";38;0
6;"Bat 5";39;0
6;"Bat 5";40;0
6;"Bat 5";41;0
6;"Bat 5";42;1
6;"Bat 5";43;0
6;"Bat 5";44;0
6;"Bat 5";45;0
6;"Bat 5";46;0
6;"Bat 5";47;2
6;"Bat 5";48;0
6;"Bat 5";49;0
6;"Bat 5";50;0
6;"Bat 5";51;0
6;"Bat 5";52;1
6;"Bat 5";53;0
6;"Bat 5";54;0
6;"Bat 5";55;0
6;"Bat 5";56;2
6;"Bat 5";57;0
6;"Bat 5";58;0
6;"Bat 5";59;0
6;"Bat 5";60;2
6;"Bat 5";61;0
6;"Bat 5";62;0
6;"Bat 5";63;0
6;"Bat 5";64;0
6;"Bat 5";65;1
6;"Bat 5";66;0
6;"Bat 5";67;0
6;"Bat 63";1;0
6;"Bat 63";2;0
6;"Bat 63";3;0
6;"Bat 63";4;0
6;"Bat 63";5;0
6;"Bat 63";6;0
6;"Bat 63";7;1
6;"Bat 63";8;0
6;"Bat 63";9;0
6;"Bat 63";10;0
6;"Bat 63";11;1
6;"Bat 63";12;0
6;"Bat 63";13;0
6;"Bat 63";14;0
6;"Bat 63";15;2
6;"Bat 63";16;0
6;"Bat 63";17;0
6;"Bat 63";18;0
6;"Bat 63";19;0
6;"Bat 63";20;1
6;"Bat 63";21;0
6;"Bat 63";22;0
6;"Bat 63";23;0
6;"Bat 63";24;2
6;"Bat 63";25;0
6;"Bat 63";26;0
6;"Bat 63";27;0
6;"Bat 63";28;0
