"Day";"DateTime";"IdRFID";"unitLabel";"eventDuration";"reinforce1value";"reinforce1Account";"outFuncLabel";"outLabel";"SystemMsg";"MsgValue1";"IdLabel";"Cage";"Discard";"Stage";"Substage";"Group"
2;2021-07-29 23:34:26;"";"pumpBeh";NA;NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
2;2021-07-29 23:36:28;"";"pumpBeh";NA;NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
3;2021-07-30 19:30:04;"";"pumpBeh";NA;NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
3;2021-07-30 19:32:06;"";"pumpBeh";NA;NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
3;2021-07-30 22:41:21;"";"pumpBeh";NA;NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
3;2021-07-30 22:43:23;"";"pumpBeh";NA;NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
3;2021-07-31 02:08:39;"";"pumpBeh";NA;NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
3;2021-07-31 02:10:41;"";"pumpBeh";NA;NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
4;2021-07-31 18:33:09;"";"pumpBeh";NA;NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
4;2021-07-31 18:35:11;"";"pumpBeh";NA;NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
4;2021-07-31 22:22:49;"";"pumpBeh";NA;NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
4;2021-07-31 22:24:52;"";"pumpBeh";NA;NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
4;2021-08-01 01:43:15;"";"pumpBeh";NA;NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
4;2021-08-01 01:45:17;"";"pumpBeh";NA;NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
5;2021-08-01 20:00:46;"";"pumpBeh";NA;NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
5;2021-08-01 20:02:48;"";"pumpBeh";NA;NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
5;2021-08-01 23:25:30;"";"pumpBeh";NA;NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
5;2021-08-01 23:27:33;"";"pumpBeh";NA;NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
5;2021-08-02 02:32:59;"";"pumpBeh";NA;NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
5;2021-08-02 02:35:01;"";"pumpBeh";NA;NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
6;2021-08-02 18:18:24;"";"pumpBeh";NA;NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
6;2021-08-02 18:20:26;"";"pumpBeh";NA;NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
6;2021-08-02 22:07:54;"";"pumpBeh";NA;NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
6;2021-08-02 22:09:56;"";"pumpBeh";NA;NA;NA;"";"";"end pump";"";NA;NA;NA;NA;NA;NA
6;2021-08-03 00:42:13;"";"pumpBeh";NA;NA;NA;"";"";"start pump";"";NA;NA;NA;NA;NA;NA
